"","Observed","Shannon","InvSimpson","sample_16s","out"
"X1",1396,6.04516461488622,150.903834156459,"1","1"
"X10",1805,6.45529161612968,176.259509736856,"10","10"
"X100",89,2.48444306543786,4.41530331446831,"100","100"
"X1007",54,0.90635156698642,1.49427546624165,"1007","1007"
"X1008",86,1.472205684852,1.98002620743462,"1008","1008"
"X1009",261,1.88182770314583,1.97320890380347,"1009","1009"
"X1010",445,4.05730032657899,8.99266376261519,"1010","1010"
"X1011",803,5.0412318552437,23.9702760431046,"1011","1011"
"X1012",45,0.893505331875372,1.4810827448608,"1012","1012"
"X1013",64,1.22534810407789,1.74148919405351,"1013","1013"
"X1014",124,2.06980480212543,2.84761429199539,"1014","1014"
"X1015",78,1.280959709899,1.67580701817079,"1015","1015"
"X1016",254,3.1575313655186,4.74422484106256,"1016","1016"
"X1037",78,1.10794806633484,1.52429220090685,"1037","1037"
"X1038",53,1.27867332547563,1.82763601703364,"1038","1038"
"X1039",45,0.944787190123113,1.49302754846391,"1039","1039"
"X1040",61,0.988144145492441,1.48077502069553,"1040","1040"
"X1041",89,1.48364070715864,1.8513824072346,"1041","1041"
"X1042",92,1.1975472456787,1.60272248946662,"1042","1042"
"X1043",78,1.03099052263465,1.51524630080123,"1043","1043"
"X1044",36,0.816642546489572,1.42034916254789,"1044","1044"
"X1045",71,1.10538428943702,1.65240518935912,"1045","1045"
"X1046",58,1.38285729283702,1.99803428043343,"1046","1046"
"X121",661,5.22685387229158,57.9838041810994,"121","121"
"X122",92,2.89848765832943,6.92568349507609,"122","122"
"X123",249,4.21195398425133,26.4587592583641,"123","123"
"X124",189,3.56629839503677,13.1505595939109,"124","124"
"X125",136,2.39535292029751,3.0831988748153,"125","125"
"X126",110,3.21926752389304,9.76794281498047,"126","126"
"X127",93,2.68795827500241,5.54732486114628,"127","127"
"X128",178,3.86940669400559,20.2084308004862,"128","128"
"X129",223,4.04958240900105,13.0292549512281,"129","129"
"X130",38,1.09315260435574,2.20082757085847,"130","130"
"X2",224,3.34874659217127,9.99314115570301,"2","2"
"X3",526,4.91695840794162,58.3578368365078,"3","3"
"X31",78,2.07356069561144,3.69599448692177,"31","31"
"X32",142,2.71171656921114,4.37314649531787,"32","32"
"X33",285,4.25420440467034,22.1520613664896,"33","33"
"X35",53,1.06828732916265,1.57807135137619,"35","35"
"X36",203,2.87357802988305,5.86668321613406,"36","36"
"X37",257,3.52830976985568,10.9007656568733,"37","37"
"X38",150,3.75948942670585,20.8141730354842,"38","38"
"X39",190,3.2519553632837,9.51406641579676,"39","39"
"X4",1776,6.23437237880172,90.7087115511201,"4","4"
"X40",1431,5.98671543163635,127.702699231292,"40","40"
"X5",3614,6.43013400988914,94.7248719735184,"5","5"
"X6",865,5.60391185302747,30.4276527946675,"6","6"
"X61",151,2.68639354946295,4.50862574213346,"61","61"
"X62",126,3.38027402352758,10.6725688049499,"62","62"
"X63",239,3.63627272984097,12.8162945739911,"63","63"
"X64",145,3.22268103149036,9.62180582321413,"64","64"
"X65",154,3.54304669677752,12.8590906462815,"65","65"
"X66",242,4.22179676179273,26.9921610529197,"66","66"
"X67",147,3.38846150635568,13.0665250977076,"67","67"
"X68",275,3.31759750624849,4.73108687676515,"68","68"
"X69",255,3.29856361012252,6.91020493254292,"69","69"
"X7",1643,5.88015019688583,50.9961371597192,"7","7"
"X70",226,3.3524486867791,8.39830223094049,"70","70"
"X701",446,3.77211532489556,6.27352508378353,"701","701"
"X702",494,4.62812707775682,16.8153886539396,"702","702"
"X703",186,3.59390092744198,14.1287881710566,"703","703"
"X704",450,4.08048334063301,7.48477827692605,"704","704"
"X705",20,0.762533411013354,1.4421519118656,"705","705"
"X706",193,3.13144205103487,5.61889828526253,"706","706"
"X707",483,4.15581547102587,9.65978255090664,"707","707"
"X709",138,2.24385328707245,3.04771448956585,"709","709"
"X710",1980,6.50038966595507,124.164813310446,"710","710"
"X711",603,4.79369843990232,14.6372980265734,"711","711"
"X761",90,1.98742074237611,2.61250576592468,"761","761"
"X762",30,0.950101683968098,1.75872704851327,"762","762"
"X763",167,2.67590239753716,3.90804873282993,"763","763"
"X764",111,2.65505816246572,8.75118353318274,"764","764"
"X765",643,4.30871939051206,17.7030385466941,"765","765"
"X766",85,2.08807788865911,2.86338264372343,"766","766"
"X767",253,2.3673870067388,3.21729440652606,"767","767"
"X768",107,2.06525385479513,2.89120618162939,"768","768"
"X769",91,2.42098899621093,4.11430008237325,"769","769"
"X770",173,2.18718682564271,2.8737791295764,"770","770"
"X771",1633,5.2974338211503,31.0481602251057,"771","771"
"X772",880,4.32196360145526,10.4197845163292,"772","772"
"X8",124,3.10837991092637,10.7463070807438,"8","8"
"X821",238,3.42698904883437,7.08713897101582,"821","821"
"X822",119,2.55056532798315,3.92849908239983,"822","822"
"X823",221,3.73252494451065,11.4078166857858,"823","823"
"X824",118,2.97785789444156,7.48307034742266,"824","824"
"X825",83,1.83835446707514,2.38933707813802,"825","825"
"X826",224,3.76996377401617,12.3538010964155,"826","826"
"X827",401,5.05814855064884,42.3820530674644,"827","827"
"X829",141,2.88130140007331,5.05734928168594,"829","829"
"X830",102,2.67806550188607,6.30065235513216,"830","830"
"X883",279,4.03196681769787,13.8887109719293,"883","883"
"X884",166,3.36861159885491,7.93255328729057,"884","884"
"X885",184,2.23606649071848,2.8982411402552,"885","885"
"X886",34,1.34437321390291,2.40076607604948,"886","886"
"X887",210,1.95008975007438,2.09441881828497,"887","887"
"X888",194,3.30101712445591,9.89935196725989,"888","888"
"X889",388,4.79128563418542,20.4710074205046,"889","889"
"X890",520,5.20034292603891,29.8322457366738,"890","890"
"X91",172,2.312160844871,4.17369411553534,"91","91"
"X916",93,2.9728203696665,8.04252432793364,"916","916"
"X917",366,2.63516578185605,3.35624212971259,"917","917"
"X918",897,5.14793371360834,24.4165689652311,"918","918"
"X919",296,2.82741851257753,8.23675349942043,"919","919"
"X92",446,4.47420924888336,21.8353037457955,"92","92"
"X921",144,1.49150750626575,1.77073557264522,"921","921"
"X922",160,1.96552826092434,2.97387755330515,"922","922"
"X923",214,3.03614456279304,7.95567677326459,"923","923"
"X924",978,5.52294869624199,100.180591781811,"924","924"
"X925",42,1.69017287916384,2.70624787576467,"925","925"
"X93",835,4.40564621919518,13.8043982980128,"93","93"
"X94",105,3.09407522203004,10.548831279402,"94","94"
"X943",14,1.06879338094261,2.04850298088708,"943","943"
"X947",1354,6.04066357326135,134.050145951694,"947","947"
"X948",766,4.51829897807835,15.3841115503608,"948","948"
"X949",313,3.63439935995966,9.05785349322887,"949","949"
"X95",288,4.05882018080906,12.3680626118435,"95","95"
"X950",265,3.59265024996381,7.24083615913047,"950","950"
"X951",263,3.57302040326842,6.74626762561411,"951","951"
"X952",316,3.90414809266862,8.45563399006031,"952","952"
"X953",422,2.98166199444533,3.22284157925973,"953","953"
"X955",368,2.76611297667572,3.16092790377963,"955","955"
"X96",156,3.14826781351904,11.7798300850483,"96","96"
"X965",173,1.7934754457288,2.09887867527887,"965","965"
"X97",128,2.85642482298939,6.42128226682606,"97","97"
"X977",59,2.10671671848863,3.96242279787515,"977","977"
"X978",384,3.92977764225988,8.20638100932592,"978","978"
"X979",908,4.95972333982938,37.4053258404378,"979","979"
"X98",126,2.68681265626639,4.42541966826306,"98","98"
"X980",107,2.07276271393556,2.81459145959491,"980","980"
"X981",114,2.01034950496666,2.90833460391354,"981","981"
"X982",108,2.02530783319587,2.7262328243407,"982","982"
"X983",116,2.80785091747685,6.36408463707077,"983","983"
"X984",281,4.00329621654496,12.2640377152548,"984","984"
"X985",149,2.36816537869082,4.02374744912179,"985","985"
"X986",72,1.89491570713236,3.05862773501085,"986","986"
"X99",825,5.11154210193671,28.7325987867457,"99","99"
"A1",57,2.57227483526551,4.08479843778297,"A1","A1"
"A11",239,4.37833976006195,27.6391767299592,"A11","A11"
"A12",129,3.5512602223021,20.2197747284691,"A12","A12"
"A2",308,4.7795098730308,52.6307580120214,"A2","A2"
"A3",49,2.51607016274309,4.54896508645647,"A3","A3"
"A6",132,3.7198247713573,14.4011177349256,"A6","A6"
"A7",676,5.85513331313525,179.741700479988,"A7","A7"
"A8",172,4.10769398536582,20.0212331470759,"A8","A8"
"A9",227,2.02310032288415,2.04529286801791,"A9","A9"
"B10",91,0.855924799290102,1.29521124703404,"B10","B10"
"B11",260,4.11316249358249,18.7670560748701,"B11","B11"
"B12",345,4.14363973693524,12.4610791433047,"B12","B12"
"B2",127,0.969658599270544,1.31398182569255,"B2","B2"
"B3",168,1.927551913929,2.41037867735453,"B3","B3"
"B4",183,2.10873004241765,2.81118157174577,"B4","B4"
"B5",294,2.43556400058336,2.38114370056879,"B5","B5"
"B6",397,5.1828301729442,72.1489982351987,"B6","B6"
"B7",1266,6.44256895203668,287.63133748488,"B7","B7"
"B8",137,3.78575179991967,18.5019126992661,"B8","B8"
"C1",879,5.609783716067,56.4062028867717,"C1","C1"
"C10",40,2.42988814764821,5.18749326145553,"C10","C10"
"C11",158,1.62312268854161,1.75017040729419,"C11","C11"
"C4",281,2.29211618619458,2.20344608180584,"C4","C4"
"C8",145,3.96927865060614,18.3397776489161,"C8","C8"
"C9",728,5.17845352369478,55.8537720447087,"C9","C9"
"D11",416,2.81914307595555,4.6575323623772,"D11","D11"
"D2",142,1.3177554317824,1.51892451272587,"D2","D2"
"D3",760,4.92430204709681,18.9337592928694,"D3","D3"
"D4",118,1.25526700529591,1.52729679079084,"D4","D4"
"D5",127,1.96209840610594,2.38103605027414,"D5","D5"
"D6",207,1.99287243969683,2.11060825992264,"D6","D6"
"E1",255,1.93484295732443,1.90292235405443,"E1","E1"
"E11",205,2.46286743296234,2.97179710269297,"E11","E11"
"E3",66,3.06440156316456,13.3406234296931,"E3","E3"
"E5",893,6.04847543821369,221.650814149536,"E5","E5"
"E6",120,0.941857324491674,1.31130365796028,"E6","E6"
"E8",23,1.80113282433876,4.14406770466012,"E8","E8"
"F1",172,1.4690572734113,1.58454915236041,"F1","F1"
"F10",93,0.744274699109333,1.24399148154269,"F10","F10"
"F11",90,2.81064648438092,6.67931815085362,"F11","F11"
"F3",597,5.69779184425535,134.300398039047,"F3","F3"
"F5",232,2.46043951755349,2.76827774538742,"F5","F5"
"F7",201,1.73423097995923,1.76076355766389,"F7","F7"
"F8",395,5.13903877136195,66.6802121403317,"F8","F8"
"G10",446,5.47904391428737,83.1165984418328,"G10","G10"
"G12",227,4.22672358719576,19.4346317891422,"G12","G12"
"G5",629,5.25376322531409,85.424070487813,"G5","G5"
"G7",155,3.28668887747102,9.21360346992786,"G7","G7"
"H1",160,4.08991007492258,18.7568107886176,"H1","H1"
"H10",335,4.07976207089805,23.7548054723255,"H10","H10"
"H11",178,4.09576363930181,18.7552099750345,"H11","H11"
"H2",384,3.116107527524,3.40762672788633,"H2","H2"
"H4",213,3.32731392333457,6.17241114754072,"H4","H4"
"H6",138,3.97103005278769,21.855648007782,"H6","H6"
"H7",526,5.42630125572847,103.872507060591,"H7","H7"
"H8",128,3.91126365170112,24.2693941568193,"H8","H8"
"H9",194,3.80889424057605,15.0567297913477,"H9","H9"
